,card_name,card_type,release,usd_price,cmc,color_identity,rarity
0,Academy Journeymage,Creature — Human Wizard,2018-04-27,0.02,5.0,['U'],common
1,Act of Heroism,Instant,2018-03-16,0.03,2.0,['W'],common
2,Alseid of Life's Bounty,Enchantment Creature — Nymph,2020-01-24,0.29,1.0,['W'],uncommon
3,Ancestral Mask,Enchantment — Aura,2016-06-10,1.93,3.0,['G'],uncommon
4,Angel,Token Creature — Angel,2024-09-27,,0.0,['W'],common
5,Angel // Angel,Token Creature — Angel // Token,2017-12-08,,0.0,['W'],common
6,"Anikthea, Hand of Erebos",Legendary Enchantment Creature — Demigod,2023-08-04,,5.0,"['B', 'G', 'W']",mythic
7,"Anikthea, Hand of Erebos // Anikthea, Hand of Erebos",Card // Card,2023-08-04,,0.0,[],common
8,"Anowon, the Ruin Thief",Legendary Creature — Vampire Rogue,2020-09-25,,4.0,"['B', 'U']",mythic
9,"Anowon, the Ruin Thief // Anowon, the Ruin Thief",Card // Card,2020-09-25,,0.0,[],common
10,"Aragorn and Arwen, Wed",Legendary Creature — Human Elf Noble,2023-06-23,,6.0,"['G', 'W']",mythic
11,"Aragorn and Arwen, Wed // Aragorn and Arwen, Wed",Card // Card,2023-06-23,,0.0,[],common
12,Attendant of Vraska,Creature — Zombie Soldier,2018-10-05,0.16,3.0,"['B', 'G']",uncommon
13,Ballot Broker,Creature — Human Advisor,2016-08-26,0.16,3.0,['W'],common
14,Baral and Kari Zev,Legendary Creature — Human,2023-04-21,0.12,3.0,"['R', 'U']",rare
15,Behold the Multiverse,Instant,2021-02-05,0.17,4.0,['U'],common
16,Behold the Multiverse // Behold the Multiverse,Card // Card,2021-02-05,,0.0,[],common
17,Belle of the Brawl,Creature — Human Knight,2019-10-04,0.12,3.0,['B'],uncommon
18,Beneath the Sands,Sorcery,2017-07-14,0.05,3.0,['G'],common
19,Bloodstone Goblin,Creature — Goblin Warrior,2018-04-27,0.03,2.0,['R'],common
20,Bloodtracker,Creature — Vampire Wizard,2023-11-17,0.12,4.0,['B'],rare
21,By Force,Sorcery,2017-04-28,0.34,1.0,['R'],uncommon
22,"Calix, Destiny's Hand",Legendary Planeswalker — Calix,2023-08-04,0.52,4.0,"['G', 'W']",mythic
23,Call the Bloodline,Enchantment,2016-04-15,,2.0,['B'],rare
24,Captain Sisay,Legendary Creature — Human Soldier,2020-03-08,,4.0,"['G', 'W']",mythic
