,card_name,card_type,release,usd_price,cmc,color_identity,rarity
0,Abuna Acolyte,Creature — Cat Cleric,2010-10-01,0.08,2.0,['W'],uncommon
1,Adorable Kitten,Host Creature — Cat,2020-02-29,0.17,1.0,['W'],common
2,Adorned Pouncer,Creature — Cat,2017-07-14,0.39,2.0,['W'],rare
3,Aetherstream Leopard,Creature — Cat,2017-01-20,0.04,3.0,['G'],common
4,"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",Legendary Creature — Cat Warrior // Legendary Planeswalker — Ajani,2024-06-14,12.39,2.0,"['R', 'W']",mythic
5,Ajani's Chosen,Creature — Cat Soldier,2020-07-17,0.31,4.0,['W'],rare
6,Ajani's Pridemate,Creature — Cat Soldier,2024-11-15,0.44,2.0,['W'],uncommon
7,Ajani's Sunstriker,Creature — Cat Cleric,2014-06-06,0.17,2.0,['W'],common
8,Alms Collector,Creature — Cat Cleric,2023-08-04,0.31,4.0,['W'],rare
9,Angelic Cub,Creature — Cat Angel,2024-11-15,,2.0,['W'],uncommon
10,"Arahbo, Roar of the World",Legendary Creature — Cat Avatar,2017-08-25,,5.0,"['G', 'W']",mythic
11,"Arahbo, the First Fang",Legendary Creature — Cat Avatar,2024-11-15,1.91,3.0,['W'],rare
12,Arcbound Mouser,Artifact Creature — Cat,2021-06-18,0.04,1.0,['W'],common
13,Arcbound Shikari,Artifact Creature — Cat Soldier,2021-06-18,0.07,3.0,"['R', 'W']",uncommon
14,Arcbound Slasher,Artifact Creature — Cat,2021-06-18,0.04,5.0,['R'],common
15,Arctic Nishoba,Creature — Cat Warrior,2006-07-21,0.14,6.0,"['G', 'W']",uncommon
16,Armored Guardian,Creature — Cat Soldier,2000-10-02,0.27,5.0,"['U', 'W']",rare
17,Armored Skyhunter,Creature — Cat Knight,2020-11-20,3.42,4.0,['W'],rare
18,"Balan, Wandering Knight",Legendary Creature — Cat Knight,2023-08-04,0.49,4.0,['W'],rare
19,Basri's Acolyte,Creature — Cat Cleric,2020-07-03,0.04,4.0,['W'],common
20,Black Cat,Creature — Zombie Cat,2020-07-17,0.10,2.0,['B'],common
21,Black Market Tycoon,Creature — Cat Rogue,2022-04-29,0.13,2.0,"['G', 'R']",rare
22,Blade of the Sixth Pride,Creature — Cat Rebel,2021-03-19,0.05,2.0,['W'],common
23,Blistering Firecat,Creature — Elemental Cat,2002-10-07,3.27,4.0,['R'],rare
24,Bola Slinger,Creature — Cat Soldier,2023-04-21,0.05,4.0,['W'],common
25,Bounding Felidar,Creature — Cat Beast Mount,2024-04-19,0.06,6.0,['W'],uncommon
26,"Brimaz, Blight of Oreskos",Legendary Creature — Phyrexian Cat,2023-04-21,0.36,4.0,"['B', 'W']",mythic
27,"Brimaz, King of Oreskos",Legendary Creature — Cat Soldier,2014-02-07,12.36,3.0,['W'],mythic
28,Brokers Initiate,Creature — Cat Citizen,2022-04-29,0.02,1.0,"['G', 'U', 'W']",common
29,Bronzehide Lion,Creature — Cat,2020-01-24,0.29,2.0,"['G', 'W']",rare
30,Canopy Stalker,Creature — Cat,2020-07-03,0.04,4.0,['G'],uncommon
31,Canyon Wildcat,Creature — Cat,2011-09-02,0.14,2.0,['R'],common
32,Cat Warriors,Creature — Cat Warrior,1999-04-21,0.15,3.0,['G'],common
33,Cauldron Familiar,Creature — Cat,2020-07-17,5.02,1.0,['B'],common
34,Cave Tiger,Creature — Cat,1998-10-12,0.14,3.0,['G'],common
35,Chandra's Embercat,Creature — Elemental Cat,2019-07-12,0.07,2.0,['R'],common
36,Charmed Stray,Creature — Cat,2019-05-03,0.07,1.0,['W'],common
37,Chartooth Cougar,Creature — Cat Beast,2018-03-16,0.03,6.0,['R'],common
38,Chrome Cat,Artifact Creature — Cat,2022-04-29,0.02,3.0,[],common
39,Chrome Prowler,Artifact Creature — Phyrexian Cat,2023-02-03,0.02,3.0,['U'],common
40,Civil Servant,Creature — Cat Citizen,2022-04-29,0.06,2.0,"['G', 'W']",common
