,card_name,card_type,release,usd_price,cmc,color_identity,rarity
0,_____,Creature — Shapeshifter,2004-11-19,0.42,2.0,['U'],uncommon
1,Aarakocra Sneak,Creature — Bird Rogue,2022-06-10,0.08,4.0,['U'],common
2,Abaddon the Despoiler,Legendary Creature — Astartes Warrior,2022-10-07,,5.0,"['B', 'R', 'U']",mythic
3,Abattoir Ghoul,Creature — Zombie,2016-02-26,0.09,4.0,['B'],uncommon
4,Abbey Gargoyles,Creature — Gargoyle,1997-03-24,0.11,5.0,['W'],uncommon
5,Abbey Griffin,Creature — Griffin,2011-09-30,0.09,4.0,['W'],common
6,Abbey Matron,Creature — Human Cleric,1995-10-01,0.08,3.0,['W'],common
7,Abbot of Keral Keep,Creature — Human Monk,2022-07-08,0.14,2.0,['R'],rare
8,"Abdel Adrian, Gorion's Ward",Legendary Creature — Human Warrior,2022-06-10,0.09,5.0,['W'],uncommon
9,Aberrant,Creature — Tyranid Mutant,2022-10-07,0.43,2.0,['G'],uncommon
10,Aberrant Mind Sorcerer,Creature — Human Elf Shaman,2021-07-23,0.04,5.0,['U'],uncommon
11,Aberrant Researcher // Perfected Form,Creature — Human Insect // Creature — Insect Horror,2016-04-08,0.06,4.0,['U'],uncommon
12,Abhorrent Oculus,Creature — Eye,2024-09-27,22.95,3.0,['U'],mythic
13,Abhorrent Overlord,Creature — Demon,2013-09-27,0.42,7.0,['B'],rare
14,Aboleth Spawn,Creature — Fish Horror,2022-06-10,3.41,3.0,['U'],rare
15,Abominable Treefolk,Snow Creature — Treefolk,2019-06-14,0.13,4.0,"['G', 'U']",uncommon
16,Abomination,Creature — Horror,1995-04-01,0.20,5.0,['B'],uncommon
17,Abomination of Gudul,Creature — Horror,2014-09-26,0.04,6.0,"['B', 'G', 'U']",common
18,Abomination of Llanowar,Legendary Creature — Elf Horror,2021-02-05,0.23,3.0,"['B', 'G']",uncommon
19,Aboroth,Creature — Elemental,1997-06-09,1.28,6.0,['G'],rare
20,"Aboshan, Cephalid Emperor",Legendary Creature — Octopus Noble,2001-10-01,0.87,6.0,['U'],rare
21,Absolver Thrull,Creature — Thrull Cleric,2006-02-03,0.09,4.0,['W'],common
22,Absolving Lammasu,Creature — Lammasu,2024-02-09,0.08,5.0,['W'],uncommon
23,Abstract Iguanart,Creature — Art Lizard,2020-02-29,0.11,2.0,['R'],uncommon
24,Abstruse Archaic,Creature — Avatar,2023-08-04,0.78,4.0,[],rare
25,"Abuelo, Ancestral Echo",Legendary Creature — Spirit,2023-11-17,0.16,3.0,"['U', 'W']",rare
26,Abu Ja'far,Creature — Human,1995-07-01,0.21,1.0,['W'],uncommon
27,Abuna Acolyte,Creature — Cat Cleric,2010-10-01,0.08,2.0,['W'],uncommon
