,card_name,card_type,release,usd_price,cmc,color_identity,rarity
0,Agony Warp,Instant,2015-05-22,0.08,2.0,"['B', 'U']",uncommon
1,Ancient Excavation,Instant,2018-06-08,1.35,4.0,"['B', 'U']",uncommon
2,Clutch of the Undercity,Instant,2005-10-07,0.23,4.0,"['B', 'U']",uncommon
3,Consign // Oblivion,Instant // Sorcery,2017-07-14,0.22,7.0,"['B', 'U']",uncommon
4,Contaminated Drink,Instant,2024-03-08,0.05,2.0,"['B', 'U']",uncommon
5,Corpse Cobble,Instant,2021-09-24,0.04,2.0,"['B', 'U']",uncommon
6,Countersquall,Instant,2018-12-07,2.28,2.0,"['B', 'U']",uncommon
7,Dimir Charm,Instant,2013-02-01,0.19,2.0,"['B', 'U']",uncommon
8,Discovery // Dispersal,Sorcery // Instant,2024-02-23,0.09,7.0,"['B', 'U']",uncommon
9,Drown in the Loch,Instant,2022-06-10,1.48,2.0,"['B', 'U']",uncommon
10,Essence Vortex,Instant,1995-06-03,0.26,3.0,"['B', 'U']",uncommon
11,Far // Away,Instant // Instant,2013-05-03,0.14,5.0,"['B', 'U']",uncommon
12,Lim-Dûl's Vault,Instant,2013-11-01,4.96,2.0,"['B', 'U']",uncommon
13,Recoil,Instant,2023-01-13,0.03,3.0,"['B', 'U']",uncommon
14,Soul Manipulation,Instant,2020-09-25,0.15,3.0,"['B', 'U']",uncommon
15,Spite // Malice,Instant // Instant,2023-01-13,0.05,8.0,"['B', 'U']",uncommon
16,Tainted Indulgence,Instant,2022-04-29,0.28,2.0,"['B', 'U']",uncommon
17,Tyrant's Scorn,Instant,2019-05-03,0.11,2.0,"['B', 'U']",uncommon
18,Warped Physique,Instant,2013-05-03,0.06,2.0,"['B', 'U']",uncommon
19,Waterlogged Teachings // Inundated Archive,Instant // Land,2024-06-14,0.44,4.0,"['B', 'U']",uncommon
